职位名称,技能,薪资,学历要求,地区
进出口采购,"['国外采购', '家居用品', '成品/样品', '大中型企业采购经验']",10-15K·15薪,大专,上海
电商销售（五险一金-周末双休-近地铁）,"['企业（ToB）', '无经验要求', '电子商务', '网络销售']",10-15K,大专,上海
中原地产普陀长征板块招聘豪宅精英、高提成,"['电话销售', '面销/陌拜', '个人（ToC）', '其他产品/服务']",10-15K·13薪,学历不限,上海
制片助理,"['制片人助理', '执行制片人', '动漫制作']",6-8K,大专,上海
自动驾驶系统工程师,"['计算机/通信相关专业', '车辆工程相关专业']",24-30K,硕士,上海
资深合规官,"['合规审查', '风险管理', '政策解读']",20-40K,本科,上海
测试开发工程师（实习转正可发校招offer）,"['功能测试', '性能测试', '自动化测试', 'MySQL']",350-360元/天,本科,上海
急招绘画老师,"['兼职', '线下教育']",2000-6000元/月,大专,上海
高中英语教师,"['高中教育', '教师', '线下授课', '教师资格证(高中)', 'CET-6']",18-30K,本科,上海
项目助理,"['CAD', '机电一体化', '报价合同']",6-8K·13薪,大专,上海
嵌入式软件工程师,"['嵌入式技术', '流媒体技术', '单片机开发', '驱动开发', 'ARM开发']",15-20K,本科,上海
测试工程师,"['SQL', '软件测试', 'Postman', 'PC测试', '服务端测试']",15-20K,本科,上海
商业产品实习生-Pangle,['商业产品'],200-250元/天,本科,上海
IT采购（海外业务）,"['国外采购', '英语可作为工作语言', '大中型企业采购经验']",20-30K·16薪,本科,上海
客服专员,"['美容', '医疗客服', '客服专员', '全职']",8-13K,本科,上海
动效设计师,"['AE', 'Spine']",20-40K·13薪,学历不限,上海
课程顾问 周末双休,"['全职工作', '培训机构', '线下教育', '线上教育', '成人/通用']",6-11K,高中,上海
solidworks制图员,['SolidWorks'],6-10K,大专,上海
产品经理,"['产品设计', '需求分析', '数据分析', '用户研究', '数据产品']",10-15K,本科,上海
Revit二次开发工程师,"['C#', '游戏引擎', '.NET开发经验', '.NET', 'Winform']",15-16K,本科,上海
理赔中心业务员,"['查勘定损', '汽修经验']",4-9K,学历不限,上海
MPU开发工程师,['MPU开发'],30-45K·15薪,本科,上海
视频会议销售经理,"['电话销售', '网络销售', '渠道销售', '区域销售', '代理商销售']",15-27K·13薪,大专,上海
C++开发工程师,"['低延迟', 'Linux内核', 'C++11/14/17', '网络编程', '交易系统']",40-70K,本科,上海
网络运维岗,"['网络规划设计', '路由器配置']",15-25K·15薪,本科,上海
前端工程师,"['前端开发', 'JavaScript', 'TypeScript', 'React', '移动端']",15-30K,学历不限,上海
锐锢商城招聘供应链专员,"['年终奖', '周末双休']",8-13K,大专,上海
设计总监,"['设计总监', '视觉设计', '包装设计', 'AI', 'PhotoShop', 'CAD']",15-18K,大专,上海
梓鹤机械设备有限公司招聘钣金工,"['加班费', '五险']",5-8K,学历不限,上海
亚一电金店 淘宝、拼多多、I百联等渠道主管,"['微店/小程序', '自有电商平台', '拼多多', '电商店铺运营']",14-20K,大专,上海
3D动作,"['动作冒险', 'UE4', 'Maya', '3dsMAX']",35-55K·15薪,学历不限,上海
电商运营助理,"['电商运营', '运营专员']",5-6K,大专,上海
暖通运维工程师,['暖通'],5-8K,学历不限,上海
[高额提成年薪20W+住宿]理财顾问,"['互联网金融', '对普通个人客户销售']",11-22K·13薪,大专,上海
