职位名称,技能,薪资,学历要求,地区
前厅经理/领班,"['餐饮', '轮班工作制', '普通话标准', '培训能力', '包吃住', '全勤奖']",5-6K,学历不限,深圳
海外物流销售,"['英语可用于工作', '有外贸工作经验', '国际贸易专业', '外贸']",9-13K,大专,深圳
跨境电商运营/无经验/一对一培训,"['电商店铺运营', '平台品类运营', '平台整体运营', 'Amazon']",6-11K,本科,深圳
陈列设计,"['Photoshop', '3dmax', 'CAD']",5-7K,大专,深圳
文案专员,"['全职', '文字编辑']",7-10K,大专,深圳
高级测试开发岗,"['web测试', '自动化测试', 'server端测试']",20-40K,本科,深圳
嵌入式开发工程师,"['C++', 'C', 'opencv', 'mnn']",30-60K·15薪,本科,深圳
深永顺电器招聘家电维修,"['包住', '就近分配', '上门维修', '会用导航']",6-11K,学历不限,深圳
SRM实施顾问,"['ERP', '实施工程师/顾问', 'SaaS', '软件实施', 'srm']",18-30K·13薪,大专,深圳
机器人算法工程师,"['C/C++', '计算机相关专业', '数学/统计相关专业']",30-55K·13薪,本科,深圳
海外品牌经理,"['互联网/科技', '电子商务', '海外社交媒体营销推广经验']",25-30K·13薪,本科,深圳
项目经理-高薪急聘,['非技术项目管理'],15-30K,中专/中技,深圳
项目经理,"['IPC', '项目经理', 'PM']",13-26K,大专,深圳
直播带货主播,"['抖音', '五险一金', '服装鞋履', '珠宝轻奢']",7-11K·13薪,高中,深圳
硬件工程师 (MJ000706),['手机/电脑/通讯终端'],15-24K,硕士,深圳
电子工程师,"['LED灯具照明', '电子工程师', 'CAD', '电路设计', '烙铁']",5-6K,本科,深圳
用户运营专员,"['社群搭建与维护', '活动策划与组织']",10-15K,本科,深圳
资深空间设计师,"['展厅', 'AutoCAD', '独立完成效果图']",10-12K,本科,深圳
产品专员（IT硬件）,"['IT采购', 'IT硬件销售', '渠道采购']",9-14K·13薪,大专,深圳
软件工程师,"['硬件测试', '单片机开发', 'DSP开发', '示波器', '万用表', 'STM32']",9-14K,大专,深圳
项目助理/顾问助理,"['人力资源', '助理', '顾问', '应届']",6-10K,本科,深圳
测试工程师,"['功能测试', '自动化测试', '性能测试', 'Python', 'MySQL']",11-16K,本科,深圳
测量员,"['包住', '土建', '工业建筑', '分包施工员', '包吃', '餐补']",6-9K,大专,深圳
Linux运维工程师（深圳）,"['系统运维', 'Linux', 'Python', 'Shell', 'Zabbix', 'Nagios', 'RHCA']",5-10K·13薪,大专,深圳
高级UnityAR软件开发工程师,"['Unity3D', 'Unity3D开发经验', 'VR/AR开发经验']",13-26K,大专,深圳
网络销售,"['医疗/大健康', '客户挖掘和转化', '孕妇产妇群体', '网络销售']",5-10K,大专,深圳
专业监理工程师,['土木建筑工程'],7-12K·14薪,本科,深圳
Java开发工程师（酒店SaaS方向）,['分布式技术'],18-28K·15薪,本科,深圳
硬件工程师,"['PCB设计', '电路设计', '移动WiFi', '通讯产品', '随身WiFi', 'MiFi']",17-23K,大专,深圳
iOS,"['Swift', 'Objective-C']",30-60K,本科,深圳
icu护士,"['私立医院', '护士执业证书', '护士资格证', '护士', '护师']",8-13K,大专,深圳
视频后期,"['后期编辑', '视频编辑', '影视策划']",7-12K,大专,深圳
高级软件工程师,"['C++', 'C语言', '计算机相关专业', 'C语言开发经验']",20-30K,本科,深圳
产品经理,"['金融产品', '支付产品']",30-50K·13薪,本科,深圳
免费提供车辆/配送距离小/超时不扣费骑手,"['月结工资', '公司免费缴纳商保', '无任何押金租金', '全市就近分配']",8-13K,学历不限,深圳
兴威帆电子招聘质量管理/测试,"['FMEA', 'QC七大手法', '汽车质量管理体系标准', '汽车质量管理']",10-15K,本科,深圳
软件工程师,"['C', 'C++', '计算机相关专业', '电子相关专业', '单片机设计经验']",10-15K,本科,深圳
机器视觉技术经理,"['C/C++', 'OpenCV', '数学/统计相关专业', '图像识别经验']",12-18K,本科,深圳
高薪聘销售精英,"['企业（ToB）', '无经验要求', '互联网/科技', '招商/商户拓展']",4-8K,高中,深圳
售前工程师,['售前技术支持'],8-13K,本科,深圳
电商客服主管,"['含销售的客服工作', '线上客服', '正常工作制', '办公室坐班']",10-15K,大专,深圳
ui设计讲师,"['全职工作', '线下教学', '院校专业课', '日常教学', '实操实训']",8-12K,大专,深圳
外贸助理,['英语可作为工作语言'],6-11K,本科,深圳
后端开发,"['SQL', '分布式技术', '多线程', 'Spring', 'Dubbo', 'Redis']",15-25K,大专,深圳
亚马逊电商产品开发兼职,"['C端产品', 'TOC']",3-8K,本科,深圳
vue前端工程师,"['前端开发', 'HTML', 'Vue.js', 'Web端', 'GIT', 'SVN']",10-15K·13薪,本科,深圳
安卓控制系统软件开发,"['计算机软件', '手机群控', '安卓群控', 'HTML']",12-20K,大专,深圳
上位机软件开发工程师,['VisualStudio'],10-15K,本科,深圳
电气工程师（PACK、电子元器件）,"['电路设计', 'ProE', 'CAD', 'PCB设计', '单片机开发']",20-35K·13薪,本科,深圳
电气组总监,"['PLC', '汇川', '欧姆龙']",20-30K·13薪,本科,深圳
MFI产品经理,['C端产品'],15-25K·13薪,本科,深圳
新媒体运营编辑,"['专业脚本', 'PS/AI', '后期剪辑', '公众号/朋友圈运营', '矩阵营销']",10-15K,大专,深圳
运维工程师,"['实施交付运维', '运维经验']",10-15K,本科,深圳
嵌入式固件工程师,"['驱动开发', 'ARM开发', 'C语言', 'Linux', '嵌入式技术']",20-35K,大专,深圳
装饰预结算员,['工程造价'],8-12K,大专,深圳
普工/操作工,"['月结工资', '缴纳社保', '长白班', '做六休一', '坐班', '不穿无尘服']",5-7K,学历不限,深圳
日语亚马逊运营,"['日本日语马逊销售运营', '日语亚马逊', '日本的亚马逊']",9-10K,大专,深圳
影视专员,"['活动视频', '短视频', '综艺', '抖音']",9-10K,大专,深圳
律师,"['知识产权案件', '律师', '专利代理资格证', '律师资格证']",30-35K,硕士,深圳
律师助理,"['律所', '英语可作为工作语言', '公司法律', '民商事', '非诉讼业务']",4-5K·13薪,本科,深圳
数据开发就业师,"['ETL开发经验', '计算机相关专业', '数学/统计相关专业']",25-26K,学历不限,深圳
照明设计师,"['LED', '智慧照明', '3dsMAX', 'AutoCAD', 'DIALux']",9-13K,大专,深圳
网络工程师,"['故障处理', '负载均衡', '运维通信资格证书', 'CCNA证书']",6-10K,大专,深圳
软件工程师,"['C++', '计算机相关专业']",9-14K,本科,深圳
电子工程师,"['Keil', 'PADS', 'CAD', '电子', '电子工程师']",12-18K·13薪,大专,深圳
分析师（科技与企业服务）,['研究员'],12-16K,本科,深圳
项目工程师,"['产品开发', '硬件', '智能硬件', '消费电子', '人工智能', '硬件实施']",9-14K,本科,深圳
工程文员,"['产品检验', '功能测试经验']",4-7K,高中,深圳
国内电商运营,"['抖音', '大型B2B/B2C网站经验', 'B2C', '电商店铺运营']",8-13K,学历不限,深圳
美肤顾问,"['销售经验', '注射类医美', '美容中医', '护理相关专业']",15-20K,大专,深圳
业务跟单助理,"['家居用品', '电商专业', '熟悉跨境平台操作', '年终奖', '跨境电商']",6-7K,高中,深圳
品牌设计经理,"['平面设计', '包装设计', '品牌设计', '美妆日化']",18-30K,本科,深圳
事业部销售总监（网电/铁路）,"['制定销售计划及策略', '市场开发及维护', '团队建设及管理']",20-35K,大专,深圳
剧本杀主持,"['主持人/司仪', '会议主持']",6-8K,学历不限,深圳
医美仪器操作医生,"['全科', '外科', '普通外科', '医师资格证', '医美整形机构']",10-15K,本科,深圳
产品部计调,"['国内线路', '同业', '人员', '酒店', '景点']",4-8K,学历不限,深圳
写实枪械原画师,"['枪械原画', 'FPS', '写实风格']",7-12K,大专,深圳
硬件工程师,"['硬件工程师', '电子元器件工程师', '硬件测试']",10-15K,本科,深圳
嵌入式软件工程师,"['嵌入式技术', 'C语言', '网络协议', 'RTOS', '软件工程师']",10-15K,大专,深圳
嵌入式硬件工程师（单片机）,['单片机开发'],10-11K,本科,深圳
IT工程师（包吃住）,"['企业内部IT技术支持', 'IT技术支持经验', '计算机/通信相关专业']",7-9K,大专,深圳
硬件工程师,"['Layout设计', '硬件测试']",15-20K,大专,深圳
项目助理,['项目助理'],4-9K,学历不限,深圳
育婴师、保姆、家政员,['月休四天'],6-8K,学历不限,深圳
硬件技术经理,"['医疗器械', '体外诊断', '生物医疗']",30-40K·15薪,硕士,深圳
急招龙岗区驾校招生专员,"['培训机构', '普通话发音标准', '有销售背景', '营销相关专业']",8-10K,学历不限,深圳
测试工程师,"['示波器', '万用表', '信号发生器', '逻辑分析仪']",3-5K,中专/中技,深圳
运维主管,"['系统运维', '桌面运维', '安全运维', '应用运维', '机房运维']",9-12K·13薪,本科,深圳
外贸经理,"['年终奖', '国际贸易专业', '每周双休', '有外贸工作经验']",10-15K,大专,深圳
PIE工程师,['工程师'],6-8K,中专/中技,深圳
HRBP,"['人才发展', '组织发展', '招聘', 'HRBP经验', '千人团队BP经验']",12-17K,本科,深圳
高级java开发工程师,"['Java', '团队管理经验', '分布式系统开发经验']",20-30K·13薪,大专,深圳
Java开发工程师（双休）-年薪60万,"['Shell', 'SQL', 'Linux', 'Spring', 'Hibernate', 'SVN', 'GIT']",20-40K·14薪,本科,深圳
Linux系统软件工程师,"['C++', 'Java', 'Shell', 'linux', '机器人', '人工智能', '智能硬件']",20-35K,本科,深圳
佳豪鑫招聘供应链专员,"['物流运营', '物流管理', '仓储专员', '物流专员', '月休四天']",5-6K,高中,深圳
区块链工程师,"['fabric', '联盟链', 'nodejs', 'bocs']",20-35K,本科,深圳
家装室内设计师,"['PS', 'SketchUp', 'Sketchup', '住宅地产', '全职兼职均可']",5-6K,本科,深圳
雕塑建模设计师,"['公共艺术设计', '3DMax', 'CAD', '3D建模', '3D渲染']",10-13K,学历不限,深圳
模具工程师,"['注塑工艺', 'CAD', 'UG']",10-15K,大专,深圳
安卓开发工程师,"['Java', 'Kotlin', '安卓']",18-25K,大专,深圳
服装设计助理,['设计师助理'],5-8K,大专,深圳
运营经理,['司机调度/管理'],15-25K,大专,深圳
SAAS软件销售,"['电话销售', '面销/陌拜', '软件/企业服务产品']",12-24K,大专,深圳
数据库管理岗,"['SQL', 'Windows', 'Linux', 'Oracle', 'DB2', 'Unix', 'MySQL']",20-30K,本科,深圳
高级嵌入式软件工程师,"['驱动开发', 'C语言', 'Linux', '嵌入式技术']",16-30K,本科,深圳
游戏主播（出镜直播）,"['线下办公', '远程办公', '抖音', '游戏竞技']",5-10K,大专,深圳
甲方项目管理电气工程师,"['地产公司', '施工单位', '传统行业', '施工工程师', '负责驻场']",8-12K,大专,深圳
产品研发主管,"['肉类', '制定SOP', '植物肉、植物蛋白', '食品相关专业']",14-16K,本科,深圳
C++服务器开发工程师,"['数据结构', '网络协议', '分布式技术', '架构师']",20-40K·14薪,本科,深圳
电气工程师,"['CAD', '双休', 'PCB设计', '电控工程师']",8-9K,中专/中技,深圳
渗透测试工程师,"['Python', '信息安全', '代码审计', '渗透测试', '漏洞挖掘']",13-25K,学历不限,深圳
化妆师—深圳海雅缤纷城店—海马体,"['餐补', '日常彩妆', '古装妆容', '影楼化妆', '全职', '服饰搭配']",7-9K,学历不限,深圳
内容营销实习生,"['内容平台运营', '内容审核']",120-200元/天,本科,深圳
课程顾问,"['全职工作', '培训机构', '线下教育', '学前儿童/小学生']",4-9K,学历不限,深圳
搭建老师,"['教师资格证', '线下授课', '早教', '手工', '乐高']",8-12K,大专,深圳
城市规划设计,"['城市规划设计师', '建筑设计', '地产开发', '旧改项目']",9-10K,本科,深圳
FAE工程师,"['FAE，mos管，选型', '方案设计', '电源相关']",12-20K,大专,深圳
海外广告优化投放师,"['海外广告投放经验', 'Facebook/Instagram或其他社交媒体']",20-30K·13薪,学历不限,深圳
创意策划经理,"['4A广告公司经验', '游戏广告', '新媒体广告', '实习生', '媒体广告']",13-20K,本科,深圳
ebay跨境电商运营,"['跨境电商', '电商店铺运营', 'B2C', '平台品类运营']",5-10K,大专,深圳
客户经理,"['市场营销', '市场推广', '市场开发', '渠道合作', '销售经理']",7-12K,大专,深圳
清洁工阿姨,"['包吃住', '五险一金', '室内清洁']",3-4K,学历不限,深圳
数据库开发工程师,['C++'],200-250元/天,本科,深圳
口腔执业医师,"['口腔综合', '口腔医师资格证', '执业医师']",15-30K,中专/中技,深圳
FBA头程业务员/跨境电商物流销售,"['五险', '销售专员', '渠道销售', '新客户开发', '老客户维护']",8-13K,大专,深圳
Python开发工程师,"['Redis', 'Django', 'Flask', 'GIT']",10-15K·13薪,本科,深圳
项目经理,"['解决方案', '项目管理']",6-7K,中专/中技,深圳
海外销售负责人,"['制定销售计划及策略', '市场信息收集及分析', '海外销售']",30-40K,本科,深圳
初中语文老师,"['一级甲等', '教师', '教育工作经验', '培训机构', '线下教育', '语文']",10-13K,本科,深圳
测试工程师,"['功能测试', '性能测试', '软件测试']",12-20K·13薪,本科,深圳
嵌入式软件工程师,"['嵌入式技术', '单片机开发', '嵌入式软件开发', 'ARM开发', 'C++']",12-20K,本科,深圳
晨锐汽车服务有限公司招聘网约车司机,"['免费培训', '车辆保险/保养', '平台一对一派单']",8-12K,学历不限,深圳
shell开发工程师,['Python'],8-12K,本科,深圳
锌合金压铸师傅,"['压铸', '金属冶炼相关专业', '锌合金']",6-8K,学历不限,深圳
计划工程师,"['家居家具', '智能硬件', '家电', '库存/仓储管理']",10-15K·14薪,本科,深圳
电商运营阿里巴巴专员,"['电商店铺运营', '平台品类运营', '平台整体运营', '家用电器']",6-11K,中专/中技,深圳
淘宝天猫客服(外包兼职勿扰),"['倒班工作制', '办公室坐班', '全职', '企业内部客服职位']",6-9K,高中,深圳
车版工,['女装'],6-8K,学历不限,深圳
工业设计师,['工业设计'],10-12K,大专,深圳
服装开发/开发组长,"['女装开发', '亚马逊开发', '女装', 'T恤/卫衣', 'CorelDRAW']",7-10K·13薪,大专,深圳
UI-SZ,['交互设计'],20-27K·15薪,本科,深圳
威和友俱乐部招聘店员/营业员,"['全职', '休闲娱乐', '包住', '月结', '团建']",8-13K,学历不限,深圳
跆拳道教练,"['早幼教', '体育/师范类院校背景', '体育教育工作经验', '销售经验']",11-20K,大专,深圳
PHP,"['HTML', 'SQL', '后端开发', '小程序开发', '小程序', 'MySQL']",8-10K·13薪,本科,深圳
数据分析师、数据工程师,"['Java', 'Kafka', 'Flink', '大数据', 'HDFS', 'HIVE', 'Hbase']",1-3K,本科,深圳
PHP,"['Redis', 'MySQL', 'ThinkPHP', '后端开发', 'MVC开发']",14-16K·13薪,大专,深圳
硬件工程师-电子工程师,"['音视频/显示类产品', '智能硬件/可穿戴设备', '硬件工程师']",11-19K·13薪,本科,深圳
安卓技术支持(应届),"['企业内部IT技术支持', 'Java']",8-13K·13薪,本科,深圳
MCU底层软件工程师,"['CAN网络相关', '多核分配', '芯片驱动']",20-35K·13薪,本科,深圳
facebook/tiktok高级优化师,"['Shopify', 'facebook', 'tiktok']",15-30K,大专,深圳
java中级/高级工程师,"['Java', 'SQL']",40-70K,本科,深圳
物料技术质量认证工程师,"['医疗健康', '物料供应商', '熟悉ISO质量管理体系']",18-30K·15薪,本科,深圳
茶艺师,"['销售经验', '全勤奖', '底薪加提成', '过节福利', '绩效奖金']",5-8K,学历不限,深圳
注塑产品报价工程师,['塑胶模具'],10-12K,大专,深圳
营业员,['药店店员'],5-7K,中专/中技,深圳
中医,['中医医生'],10-11K,大专,深圳
Layout工程师,"['电路设计', '芯片测试', '芯片/半导体/集成电路', '嵌入式软件开发']",20-25K·14薪,大专,深圳
资深软件工程师/高级软件工程师,"['嵌入式技术', '单片机开发', '嵌入式软件开发', 'Layout设计']",18-28K·13薪,本科,深圳
Android APP工程师,"['SDK', 'MVVM', 'Android', '车载', 'APP']",15-30K·14薪,大专,深圳
招聘声音主播不露脸,"['情感聊天', '电台主播', '远程办公', '支持远程办公', '声音主播']",4-9K,学历不限,深圳
采购专员,"['国内采购', '服装服饰', '家居用品', '礼品/玩具', '成品/样品']",6-10K,大专,深圳
CAD绘图员,['CAD'],5-8K,大专,深圳
售前技术支持,"['售前支持', '计算机软件', '物联网']",8-9K,本科,深圳
首饰3D设计师,"['工业设计', '服装设计', '珠宝设计']",4-8K,大专,深圳
室内设计助理,"['别墅', '展厅', '酒店', 'AutoCAD', 'SketchUp', 'VRay', '客情维护']",5-10K,本科,深圳
嵌入式系统工程师(Xilinx),"['Zynq', 'Vivado', 'ARM']",20-23K·13薪,本科,深圳
咨询师助理,"['房地产', '服务意识', '沟通能力', '个人（ToC）', '较多外勤']",6-10K,学历不限,深圳
web前端开发工程师,"['JavaScript', 'HTML5', 'Vue', '计算机/软件工程相关专业']",10-14K,本科,深圳
数字电源软件工程师/DSP,"['UCOS', '电路设计']",20-35K,本科,深圳
储备干部,"['实习生', '品质工程师', '工程技术员']",3-4K,本科,深圳
地推专员,"['销售工作经验', '销售岗', '客户开发', '教育培训', '地推经验']",7-12K,高中,深圳
人力资源管培生,['招聘与配置'],11-15K·14薪,学历不限,深圳
应用技术工程师,"['PLC', 'C++', '自动化', '自动化系统', '仪器系统']",10-15K,本科,深圳
全屋定制拆单员,"['CAD', '全屋定制设计', '三维家']",6-9K,学历不限,深圳
SMT工程师,"['Android', 'Windows']",10-15K,本科,深圳
项目现场管理员,"['工程管理', 'CAD', '天正', '施工员', '施工现场管理员', '项目经理']",3-8K·13薪,高中,深圳
pmo项目经理,"['企业内部技术项目管理', 'PMP']",15-20K·13薪,本科,深圳
硬件电子工程师,"['电子工程师', '硬件', '硬件工程师', '硬件测试', '嵌入式技术']",6-10K,大专,深圳
高级Java开发工程师,"['分布式技术', 'Spring', 'Linux', 'Web端', 'Java', '微服务架构']",30-50K·16薪,本科,深圳
linux高级软件开发工程师,"['BSP开发', '嵌入式软件开发', '驱动开发', 'ARM开发', 'Android']",20-35K·15薪,本科,深圳
创信明智能技术招聘家电维修,['月休六天'],5-6K,学历不限,深圳
旅游产品经理,"['境外游', '东南亚', '日韩', '地接社', '接团社', '商务型']",5-10K,本科,深圳
包装工,['企业IT资产/实物资产管理'],5-6K,大专,深圳
电气工程师,"['C语言', 'PLC工程师']",10-15K·14薪,大专,深圳
行业研究员,"['估值分析', '财务分析', '汽车', '先进制造', '大消费', '股票研究']",10-15K,本科,深圳
销售工程师,['大客户销售'],15-20K,大专,深圳
家装室内设计师,"['设计师助理', '设计师', 'PhotoShop', 'CAD', 'SKetch', '三维家']",5-10K,大专,深圳
冠品机具招聘仓库管理员,"['餐补', 'ERP操作', '仓储物料管理', '配货', '住房补贴']",5-7K,高中,深圳
大客户销售/主管/经理,"['定制解决方案', '客户关系维护', '较多外勤', '较多出差']",10-15K,学历不限,深圳
营养讲师,"['营养师', '医疗健康', '健康管理师', '健康管理师证']",20-40K,大专,深圳
客户经理,"['芯片销售', '销售经理']",6-10K·13薪,大专,深圳
乐高机器人讲师（高薪/近地铁）,"['机器人讲师', 'wedo', 'EV3', '创客教育', 'STEAM', '乐高讲师']",8-13K,本科,深圳
人事行政专员,"['招聘与配置', '考勤管理', '制度制定及落地优化']",6-10K,大专,深圳
国际物流销售,"['电话销售', '面销/陌拜', '房地产销售经验', '企业服务']",8-12K·13薪,中专/中技,深圳
建模渲染设计师,"['机械设计', '游戏设计', 'AI', 'PS', '3dsMAX', '亚马逊']",7-9K,大专,深圳
深圳市德昌升科技招聘电镀工,"['包吃包住', '五险', '夜班补助', '高温补贴']",7-8K,中专/中技,深圳
电源工程师,"['PCB设计', 'EMC测试', '电子元器件工程师', '电子工艺工程师']",20-35K,大专,深圳
嵌入式软件开发工程师（下位机）,['IVD'],15-30K,本科,深圳
服装搭配师,['女装设计'],7-8K,学历不限,深圳
投后管理副总监,"['IPO', '投行业务', '投后管理', '投前尽调', 'CPA', '初级会计师']",18-28K·14薪,本科,深圳
装配式建筑工程师,['装配式建筑'],7-12K,本科,深圳
施工图深化设计师,"['3dsMAX', 'SketchUp', 'CAD绘图', '室内装潢', '酷家乐']",3-5K,大专,深圳
设计师助理室内,"['室内设计', '手绘', '设计师助理', 'CAD', 'PhotoShop', 'Sketchup']",2-4K,学历不限,深圳
深圳专线计调@操作计调+同业批发,"['计调经理/主管', '接待型计调', '旅行定制师', '旅游行程规划']",8-12K,学历不限,深圳
方案总监（医疗信息化,"['售前支持', '解决方案', '区域医疗']",30-50K·20薪,本科,深圳
唐桥体育招聘店员/营业员,['八小时工作制'],150-260元/天,,深圳
项目申报经理,"['项目申报', '政府项目申报', '科技项目申报']",12-20K,大专,深圳
前厅训练员,"['带薪年假', '包吃', '包住']",5-6K,初中及以下,深圳
健康管理,"['中医医生', '医生', '其他科室']",10-15K,大专,深圳
氧化锆,"['义齿', '氧化锆']",9-10K,学历不限,深圳
助理工程师,"['性能测试', '自动化测试', '功能测试']",4-7K·13薪,大专,深圳
高级工业设计师,"['医疗设备/仪器', '设计主管', '设备仪器类', '医疗产品设计']",5-10K,大专,深圳
助理工程师 （软件）,"['C#', 'C++', 'C语言']",7-10K,大专,深圳
医助（医院深圳）,"['护士', '护师', '医生助理']",4-9K,大专,深圳
深圳留学分公司总经理,"['教育', '销售管理', '从0-1搭建团队', '留学行业管理经验']",15-25K,本科,深圳
区域销售经理,"['渠道关系维护', '代理商体系搭建', '销售目标制定及评估']",10-15K,大专,深圳
外贸主管/经理,"['管理经验', '外贸工作经验', '欧美市场', '中东市场', '网络销售']",8-12K,本科,深圳
产品经理（DHC),"['高级产品经理', '无留学背景偏好']",15-20K,大专,深圳
旅游销售顾问/旅游线路策划/团建策划师,"['境内游', '定制小团']",3-8K,大专,深圳
见习经理,"['团建聚餐', '五险一金', '八小时工作制', '绩效奖金']",5-8K,大专,深圳
全职钢琴老师,"['一对一授课', '集体授课', '小学教育', '幼儿钢琴', '成人钢琴']",10-15K,本科,深圳
品牌设计负责人,"['包装设计', '设计主管', '平面设计', 'PhotoShop', 'CorelDRAW']",12-16K·13薪,本科,深圳
高级软件工程师,['单片机开发'],20-35K,大专,深圳
医生,"['初级职称', '科室主任', '儿童牙医', '口腔医生', '全科医生']",10-15K,大专,深圳
项目经理,['总包施工员'],9-14K,大专,深圳
服装导购,"['全勤奖', '门店销售', '女装销售', '全职', '35岁以内', '160以上']",5-9K·13薪,大专,深圳
小红书媒介,"['媒介代理商/服务商', '线上媒介', '媒体资源拓展及维护']",6-11K,大专,杭州
服装版师,"['女装', '擅长AutoCAD', '熟悉面/辅料市场']",13-18K,中专/中技,杭州
高级java开发工程师,"['Java', 'SpringBoot', 'SpringMVC']",14-24K,本科,杭州
检验科主管,"['主任检验师', '科室主任', '检验师资格证', '微生物检测']",8-12K,本科,杭州
高级结构设计工程师,"['钣金工艺', '机加件工艺', '熟练使用Creo、CAD']",18-25K·16薪,本科,杭州
提成律师,"['A证', '诉讼', '公司律师', '社会律师', '知识产权', '刑事']",15-20K,本科,杭州
养发师,"['免费培训', '包住', '性格开朗想学技术有长期发展眼光']",7-10K,高中,杭州
项目专员,"['市场/公关项目', '客户开发']",5-8K,大专,杭州
Java,"['Spring', 'SpringBoot', 'Dubbo', 'MySQL', '后端开发']",25-50K·16薪,本科,杭州
机械工程师,['SolidWorks'],11-22K·14薪,本科,杭州
技术支持工程师（电能信息采集设备方向）,['企业内部IT技术支持'],11-17K·13薪,大专,杭州
上海桦运物流配送发展招聘配送员,"['短途骑车配送', '公司提供电动车', '同城骑车配送（全城范围）']",9-14K,学历不限,杭州
大码主播,"['线下办公', '抖音', '直播带货']",10-15K,大专,杭州
资深Java技术专家架构师,['Java'],25-50K·18薪,本科,杭州
音频剪辑,"['音频剪辑', '音乐制作']",3-5K,大专,杭州
Java开发工程师,"['微服务架构', '消息队列', '数据结构']",25-35K·16薪,本科,杭州
ka销售经理,"['企业（ToB）', '对企业/机构（ToB）销售经验', '互联网/科技']",13-26K,大专,杭州
创意营销策划,"['创意', '活动策划', '整合营销']",15-30K,本科,杭州
嵌入式工程师,"['STM32开发', '嵌入式/单片机开发经验', '医疗器械', '微波、射频']",12-20K,本科,杭州
商务BD,"['渠道合作经验', '媒体', '商务洽谈能力', '招商/商户拓展']",8-12K,大专,杭州
车分期招商,['车分期经验'],4-8K,学历不限,杭州
售后工程师,"['技术沟通', '系统调试']",7-10K·13薪,大专,杭州
锐德认证招聘体系审核员,"['环境管理体系标准', '食品质量管理体系标准', '食品质量管理']",12-18K,本科,杭州
生产主管,"['智能硬件', '生产成本管理', '生产跟单', '生产设备管理']",8-13K·13薪,大专,杭州
浙江玛速体育用品招聘店员/营业员,"['服装潮牌', '对羽毛球项目有所了解', '月结', '全职', '五险']",4-7K,学历不限,杭州
洪禧楼招聘传菜员,['全职'],4-5K,学历不限,杭州
兆丰机电招聘质检员,['机械设备'],4-6K,高中,杭州
Java高级开发工程师,"['Java', 'Spring', '架构师', 'Android', '软件工程师', 'IOS', 'PC端']",20-40K·16薪,本科,杭州
软件工程师,"['Java', 'Shell', '运维']",15-30K,本科,杭州
项目经理,"['销售支持/交付管理', 'ERP项目管理经验', '团队管理经验']",10-15K·14薪,大专,杭州
java前端开发工程师,"['HTML5', 'CSS', 'Vue', '前端开发经验', '架构师经验']",8-12K,大专,杭州
高级测试工程师,"['测试工程师', '自动化测试']",15-22K·16薪,本科,杭州
医美咨询师,['医美现场咨询'],22-35K,大专,杭州
IE工程师,"['项目推动', '工业工程', '标准化']",8-13K·13薪,本科,杭州
按摩师,"['五险', '包吃', '包住', '绩效奖金', '全勤奖', '月休四天']",8-13K,学历不限,杭州
化工产业研究员,"['行业研究', '市场信息收集', '全职']",10-15K,本科,杭州
恺娴通信设备商行招聘店员/营业员,"['五险一金', '餐补', '交通补助', '弹性工作制']",7-12K,高中,杭州
实施工程师,"['ERP', 'OA', '计算机相关专业', 'CRM', '可适应出差']",5-6K,本科,杭州
阿里云事业群-技术专家-IOT,['物联网'],20-40K·16薪,本科,杭州
商务拓展,"['商务拓展', '新能源汽车', '储能']",11-18K,大专,杭州
临床患者招募（base 杭州）,"['肿瘤科', '医药销售', '患者招募', '临床招募', 'cra', 'crc']",8-13K,大专,杭州
算法开发工程师,"['深度学习算法', 'Python', '人工智能', 'TensorFlow', 'PyTorch']",13-20K,本科,杭州
测试开发,"['测试', '测试工程师', '测试开发', '自动化测试', '移动端测试']",20-40K·16薪,本科,杭州
新媒体运营实习生,"['后期剪辑', 'PS/AI', '专业拍摄', '海外平台', '公众号/朋友圈运营']",140-200元/天,本科,杭州
计算机视觉算法专家,"['视觉图像算法', '深度学习算法']",30-60K,硕士,杭州
存储系统研究专员,['研究导向'],20-35K,博士,杭州
Java开发工程师,"['Java', 'Spring', 'mybatis']",9-12K·14薪,本科,杭州
资深电商设计师,"['家居用品', '天猫', '京东', '拼多多', 'PS', 'AI', '家用梯']",12-20K,本科,杭州
外贸业务员,"['欧美市场', '企业客户', '户外行业', '客户开发', '展会销售']",7-12K·13薪,大专,杭州
杭州白马湖建国饭店招聘西餐厨师,"['甜品', '3-5年']",5-6K,学历不限,杭州
华润万家招聘店员/营业员,['八小时工作制'],3-4K,大专,杭州
前端开发工程师,"['前端开发', 'HTML', 'CSS', 'JavaScript', 'CSS3', 'React', 'Vue']",20-30K·16薪,本科,杭州
软件项目经理（电网数据安全类）,"['销售支持/交付管理', 'PMP', '信息系统项目管理师']",15-25K·14薪,本科,杭州
税务筹划经理/税务师,"['财务审计', '交付团队', '财税顾问']",15-30K,本科,杭州
解决方案实施工程师,"['Windows', '系统管理员', '系统运维']",6-10K,大专,杭州
银行信贷专员+意向客户+有人带当月开单,"['互联网', '融资租赁经验', '电销经验', '贸易金融经验']",18-35K,学历不限,杭州
教育咨询师,"['家庭教育', '全职工作', '中学生', '教育工作经验', '培训机构']",8-13K,本科,杭州
电源工程师,"['电路设计', 'PCB设计', '嵌入式硬件开发', '单片机开发']",13-26K·15薪,大专,杭州
