数据运营,"['大数据', '在线教育', '媒体类产品', '社区类产品', '社交类产品']",3-8K,大专,贵阳
数据标注,"['图片', '文字', '音频', '地图', '视频', '不涉黄涉暴']",3-6K,学历不限,沧州
数据分析经理,['数据能力建设'],18-28K·16薪,本科,北京
数据治理主管,"['Python', 'SQL']",13-18K,本科,南昌
大数据分析师,"['SQL', 'Python', 'SAS', '数学/统计相关专业']",15-16K,博士,惠州
java大数据讲师,"['职业培训师', 'java大数据', 'java']",10-15K·13薪,本科,湘潭
数据标注,"['数据标注', '图片', '视频标注', '标注结果整理', '数据分析能力强', '', '', '', '', '', '', '', '', '']",3-8K,学历不限,日照
数据仓库,"['Spark', 'Hadoop', 'MapReduce', 'HDFS', 'Flink', 'SQL', 'DataX', '']",20-40K·16薪,本科,杭州
数据标注,['文字'],3-4K,大专,北京
数据运营,"['数据标注', '语音标注', '文本标注']",50-65K,大专,驻马店
数据专员,"['大数据', '人工智能', '企业服务', '平台类产品', '社交类产品', '', '', '']",3-6K,大专,达州
Excel数据工程师,"['Python', '回归分析', '多元统计分析', 'SQL', 'Excel', 'Vlookup', '']",7-12K,大专,东莞
数据分析工程师,['Python'],10-15K,本科,北京
大数据研究员,"['数据分析/挖掘经验', '遥感图像']",20-30K,硕士,杭州
数据分析员,['SAS'],5-8K·14薪,本科,嘉兴
数据工程师,"['Python', 'Shell', 'Kettle', 'ETL开发经验', 'Linux', 'SQL server']",8-12K·13薪,本科,广州
数据分析师,"['SQL', 'SPSS']",10-15K,大专,深圳
数据架构师,"['Python', '架构师', '数据仓库', '数据分析', '大数据', '云计算', '', '']",30-55K,本科,北京
数据工程师,"['Python', 'SQL', 'Datastage']",12-24K,本科,海口
数据统计员,['Python'],8-13K·13薪,大专,北京
数据仓库,"['SQL', 'Spark', 'Hadoop', 'HIVE', 'Flink', 'Java', 'Scala']",45-60K·15薪,本科,上海
数据产品经理,"['市场调研', '用户研究', '数据分析', '大数据产品', '产品设计', '', '', '']",15-30K,本科,苏州
数据运营,['电商分析'],4-5K,大专,嘉兴
数据主管,['ERP'],4-6K,大专,重庆
数据开发,"['SQL', 'HIVE']",8-12K·13薪,本科,福州
数据文员,"['带薪休假', '周末休息', '员工生日', '团队聚会']",3-5K,大专,荆门
数据标注,"['全职工作', '标注结果抽查', '数据标注', '标注数据分析', '', '', '', '', '', '', '', '']",4-5K,大专,南昌
数据记录,['数据记录'],3-8K,学历不限,太原
数据运营,"['运营专员', '游戏平台']",4-8K,中专/中技,济宁
数据专员,"['业务数据分析', '计算机相关专业']",3-6K,高中,茂名
数据分析,"['相关分析', '描述统计']",3-5K,大专,淄博
数据运营,['用户分析'],3-4K,本科,长春
数据分析,"['多元统计分析', '相关分析', '描述统计', '方差分析']",6-11K,学历不限,贵阳
数据分析,"['Excel', 'SQL', 'Tableau', 'Python']",240-300元/天,本科,北京
数据运营,"['业务模式/运营策略优化', '投放数据分析', '营销活动效果分析', '']",12-18K,大专,北京
数据专员,"['计算机', '数据', '报表开发']",5-9K,大专,湖州
数据采集,"['爬虫工程师', 'Python']",15-16K,本科,南京
数据开发,"['Java', 'Python', 'Shell', '数学/统计相关专业', '数仓建设经验', '']",10-15K,本科,宁波
数据仓库,"['数学/统计相关专业', '数仓设计/开发经验', '数据建模经验']",3-8K,大专,三明
数据仓库,['数据建模经验'],3-4K,学历不限,安阳
数据运营,"['数据平台搭建经验', '渠道数据分析经验']",3-6K,高中,绍兴
数据分析,"['SQL', 'Python', 'Hive', '数学/统计相关专业', '数据分析/挖掘经验', '']",10-15K·14薪,硕士,上海
数据开发,"['Python', 'Java', 'ETL开发经验', '大数据开发经验']",15-30K,本科,深圳
数据仓库,"['HIVE', 'Spark', 'Flink', 'DataX']",25-35K,本科,北京
数据专员,['电脑 办公自动化 客服'],2-3K,高中,安康
数据员,['业务数据分析'],6-7K,学历不限,宁波
数据&java开发工程师,['Java'],20-40K·16薪,本科,杭州
粤语数据标注,"['文字', '音频', '视频']",6-8K,学历不限,东莞
数据库工程师,"['Shell', 'Unix', 'Oracle']",6-10K·13薪,大专,九江
商品数据分析,"['数据分析', '品类运营', '数据运营']",4-6K,大专,苏州
ai数据标注,"['全职工作', '兼职工作', '数据标注', '标注数据分析', '', '', '', '', '', '', '']",3-5K,学历不限,商丘
数据文员岗,['资料文员'],4-5K,大专,广州
数据建模分析师,"['Python', 'MATLAB', '大数据处理经验', '工业控制相关', '']",13-20K,硕士,南京
数据仓库,"['数学/统计相关专业', '计算机相关专业']",2-5K,学历不限,徐州
数据运营,['厨电销售库管办公室'],3-8K,中专/中技,东营
数据标注,"['全职工作', '数据标注', '语音标注', '图片标注', '描点标注', '']",3-5K,学历不限,长沙
数据运营,"['数据分析', '运营专员', '数据运营']",3-5K,大专,临沂
数据开发,"['Java', 'Spark', 'Yarn', 'Kafka', 'Flink', 'SQL', 'Scala', 'Python']",20-40K·15薪,本科,北京
数据处理,"['arcgis', 'mapinfo']",2-3K,中专/中技,成都
大数据分析师,"['Python', 'SQL', 'SAS', 'SPSS', 'R', '金融，银行']",12-24K,硕士,北京
数据开发工程师（高级）,"['SQL', 'Python', 'Spark', 'Hadoop', 'Kafka', 'HIVE', 'Flink']",20-30K·15薪,学历不限,上海
数据库管理员（DBA）,"['Oracle', '数据库管理', 'DBA']",10-15K,本科,合肥
数据产品经理,"['SQL', '数据产品', '市场调研', '产品设计', '数据分析', 'Axure']",15-20K,本科,长沙
数据产品经理,"['SQL', '产品设计', '数据分析', '使用场景分析', '产品/版本迭代', '', '', '']",20-30K·16薪,本科,北京
数据平台总监,"['营销SAAS产品', 'Java', '数据结构']",30-45K,本科,广州
金融法规数据库,"['信息录入', '文字校对', '金融', '法规', '数据库', '金融机构']",7-8K·13薪,大专,上海
数据治理专家,"['Flume', 'Kafka', 'Hadoop', 'Sqoop']",30-60K·16薪,本科,北京
数据项目经理,"['企业内部技术项目管理', '管理相关专业', '软件研发经验', '', '', '']",4-9K,学历不限,日照
数据审核专员,['数据'],4-5K,大专,厦门
数据质控师,"['SQL', '数据治理', '金融知识']",10-15K,本科,上海
数据分析工程师,"['SQL', 'Python', '计算机相关专业', '数学/统计相关专业', '']",7-11K,大专,深圳
数据分析师,"['Python', 'SQL']",12-18K·15薪,本科,北京
数据产品(J13287),"['搜索产品', '市场调研', '产品设计', 'Axure']",16-30K·14薪,本科,杭州
Java大数据后端开发,"['Java', '后端开发', '大数据']",25-50K,本科,北京
高级大数据产品经理,"['SQL', '大数据产品', '需求分析', '产品设计', '用户研究', '', '', '']",25-30K·13薪,本科,北京
数据库讲师,['Oracle'],10-15K,本科,济南
数据统计员,['数据统计'],3-5K,大专,长沙
数据统计员,['数据结构'],3-4K,大专,漳州
数据统计员,['全职'],2-3K,学历不限,沈阳
数据统计员,['数据处理'],3-5K,大专,仙桃
数据统计员,['大数据'],3-4K,学历不限,潮州
大数据工程师,"['机器学习工程经验', 'Java', '大数据处理经验', 'spark', '']",16-25K·13薪,本科,西安
客户数据管理4000,['数据'],4-5K,学历不限,昆明
技术支持电子数据,"['信息安全', '电子数据', '数据恢复', '数据分析', 'SQL', 'Python']",4-8K,大专,长沙
数据安全工程师,['数据安全'],12-18K·13薪,本科,杭州
数据分析师,"['Python', 'SQL', 'SAS', 'R']",20-40K,本科,北京
