3541,生物实验研究员,"['临床研究', '临床试验', '细胞工程', '基因工程']",8-12K,博士,石家庄
3542,英文翻译,"['全职', '坐班', '口译', '笔译', '接续口译', '技术资料', '英语六级']",3-6K,本科,石家庄
3543,3D设计师,"['3DMax', 'CAD', '设计师', '主案设计师', '设计总监', '装饰装修']",6-11K,学历不限,石家庄
3544,美体师,"['美体瘦身机构', '踏实勤奋，沟通能力好']",2-4K,学历不限,石家庄
3545,木作设计师,"['全屋定制', 'CAD', '衣柜设计']",10-11K,大专,石家庄
3546,设计师助理实习生,"['设计师助理', '设计师', '室内设计', '3D设计', 'CAD', '3DMax']",50-100元/天,本科,石家庄
3547,教务老师,['成人/通用'],3-4K,本科,石家庄
3548,护士,"['手术配台', '皮肤性病科', '病房护士', '弹性工作制', '常规护理']",3-7K,学历不限,石家庄
3549,室内设计师助理,"['室内设计', '家居/家具设计', '平面设计']",2-3K,学历不限,石家庄
3550,书法教师,"['教师', '线下授课']",4-8K,学历不限,石家庄
3551,网站前端,"['PC端', '移动端', '前端开发']",2-3K,大专,石家庄
3552,网络安全产品销售,"['网络安全', '产品销售']",6-11K,大专,石家庄
3553,药房营业员,"['药房药店', '医药领域', '药店店员', '医疗卫生', '健康保健']",4-5K,中专/中技,石家庄
3554,web前端开发工程师,"['CSS', 'HTML5', 'Web端', '移动端']",4-9K,大专,石家庄
3555,洗车工,"['汽车美容', '洗车工']",3-5K,学历不限,石家庄
3556,助教老师招生老师口才老师,"['幼师', '助教', '学前教育', '口才老师']",100-110元/天,学历不限,石家庄
3557,税务师,"['税务筹划', '代理记账公司', '税务筹划代理公司']",3-5K,本科,石家庄
3558,顺诚招聘家电维修,['全职兼职均可'],1-6K,学历不限,石家庄
3559,电气工程师,"['电气工程师', '电气']",4-8K,本科,石家庄
3560,手机测试员,['功能测试'],3-5K,学历不限,石家庄
3561,.NET高级研发工程师,"['.NETCore', 'C#', 'MySQL/SQLServer/Oracle', '计算机相关专业']",9-12K,本科,石家庄
3562,flash场景师,['Flash'],4-5K,大专,石家庄
3563,桥西顾问岗 五险一金,"['销售主管', '销售经理', '证券销售', '培训能力']",4-9K,大专,石家庄
3564,平面设计,"['PhotoShop', 'CorelDRAW', 'AI']",3-6K,大专,石家庄
3565,室内设计师,"['PS', '3DsMAX', 'AutoCAD', '熟悉施工工艺', '熟悉装修材料']",5-6K,学历不限,石家庄
3566,采购专员,"['国内采购', '劳保用品', '供应链/贸易专业', '英语可作为工作语言']",4-9K,大专,石家庄
3567,药店营业员,['药店'],4-6K,中专/中技,石家庄
3568,酒店客房服务员,"['意外险', '餐补', '绩效奖金', '工龄奖', '免费工装', '全职']",3-4K,学历不限,石家庄
3569,桥西区默品百货商行招聘厨师,"['中餐', '职工餐厅/食堂', '早点/小吃']",3-4K,学历不限,石家庄
3570,技术总监,['SQL'],5-10K,本科,石家庄
3571,3D设计师,"['装饰装修', '3D设计', '3D建模师', '住宅地产', '机械设备']",2-7K,学历不限,石家庄
3572,校长正定,"['学前教育', '早教幼教', '运营', '门店运营', '校区运营']",6-11K,学历不限,石家庄
3573,实习设计，设计师,"['医疗机构', '办公室', '3DsMAX', 'AutoCAD']",5-6K,大专,石家庄
3574,建筑工程实习生,"['建筑工程类专业', '大型工程资料管理']",150-250元/天,大专,石家庄
3575,网易邮箱销售 5000无责底薪 双休 早九晚六,"['企业（ToB）', '客户邀约', '客户签约', '普通话标准']",5-6K,大专,石家庄
3576,石家庄豪飞尧泽浩...招聘后厨,"['主厨', '后厨学徒', '无经验', '3-5年', '5年以上', '西餐']",3-4K,学历不限,石家庄
3577,设计师,"['CAD', '商场设计', '家装设计']",3-8K,本科,石家庄
3578,君乐宝乳业招聘普工/操作工,"['月结工资', '缴纳社保', '三班倒', '车间流水线', '恒温车间']",3-4K,中专/中技,石家庄
3579,设计主管,"['封面设计', '广告设计', '海报传单设计', '广告/设计公司', 'CDR']",5-6K,大专,石家庄
3580,医生助理,"['五险一金', '周末双休', '电话']",5-7K,大专,石家庄
3581,设计总工,"['综合体', '公共建筑', '一级建造师', '中级职称']",5-10K,本科,石家庄
3582,知识产权,"['知识产权', '专利', '商标代理']",3-5K,本科,石家庄
3583,抖音审核员,"['全职', '内容审核', '视频审核', '月休8-9天']",3-5K,大专,石家庄
3584,空调机组设计工程师,['机械设计'],7-9K,本科,石家庄
3585,项目经理,['系统集成工程师'],4-5K,学历不限,石家庄
3586,诗锦轩美容中心,"['销售经验', '全勤奖', '绩效奖金', '工龄奖', '餐补', '交通补助']",4-9K,学历不限,石家庄
3587,中医药剂师,"['煎药', '配药', '发药', '执业中药师', '中药师', '中药士']",2-5K,大专,石家庄
3588,医美护士,['五险'],10-15K,学历不限,石家庄
3589,【双休】Java工程师,"['Java', 'Spring', 'MyBatis']",5-10K,本科,石家庄
3590,E语言工程师,"['C/C++', 'C#']",4-6K,学历不限,石家庄
3591,会计,"['财务管理', '会计', '会计专员']",4-5K,本科,石家庄
3592,5000+家具导购,"['全职', '线下', '家居建材', '就近分配', '五险', '月结', '底薪加提成']",5-10K,大专,石家庄
3593,3D设计师,"['3D设计', 'CAD', '室内设计', '3DMax']",5-10K,学历不限,石家庄
3594,弱电工程项目经理,"['CAD', '项目管理', '实施']",4-5K,大专,石家庄
3595,细胞培养员,"['医药相关专业', '生物相关专业']",4-7K,本科,石家庄
3596,大客户代表+双休+六险一金,"['互联网/科技', '软件/SaaS', '业务开拓能力', '大客户', 'B端']",6-11K,本科,石家庄
3597,设备项目经理,"['设备安装经理', '废气治理设备', '环保工程师', '技术管理']",3-8K,大专,石家庄
3598,外贸业务员,"['五险', '年终奖', '制单结汇', '双休', '有海外销售经验', '跨境']",6-11K,大专,石家庄
3599,电商摄影师摄影助理,"['交通补助', '夜班补助', '加班费', '绩效奖金', '全勤奖']",5-10K,学历不限,石家庄
3600,出版对接,"['杂志', '期刊', '线上', '销售经验']",3-8K,学历不限,石家庄
3601,循环化工园区俩兄...招聘厨师,"['火锅', '烧烤/大排档', '主厨', '3-5年']",6-9K,学历不限,石家庄
3602,资质维护专员,['建筑资质资质代办'],8-12K,大专,石家庄
3603,高级前端开发,"['React', 'Vue', '前端开发经验']",6-10K,大专,石家庄
3604,PCB工程师,"['PADS/PowerPCB', 'AD9/AD10', '电子/自动化相关专业']",4-8K,本科,石家庄
3605,线下运营,"['销售性质', '包住', '有地推经验']",3-5K,高中,石家庄
3606,企划专员,"['视觉设计', 'UI设计', '动效设计', '网页设计', '画册设计']",7-8K,大专,石家庄
3607,兼职游泳老师,"['教练', '救生员', '水育员']",5-8K,大专,石家庄
3608,女装项目经理,['整体运营'],3-7K,大专,石家庄
