3609,宸度物业招聘保安,"['包吃包住', '八小时工作制', '月休四天', '带薪年假']",3-7K,学历不限,石家庄
3610,幼儿园生活老师,['全职'],2-3K,中专/中技,石家庄
3611,双休五险前端工程师,"['JavaScript', 'HTML5', 'Node.js']",7-10K,本科,石家庄
3612,石家庄万舍健康管理招聘收银,"['包吃包住', '全勤奖', '工龄奖', '团建聚餐', '全职']",5-7K,学历不限,石家庄
3613,广告设计师,"['3dps创意', '平面设计', '视频广告设计']",3-8K,大专,石家庄
3614,护士,['护士'],3-8K,学历不限,石家庄
3615,易旭集团招聘物流经理,"['物流配送', '同城货运', '团队搭建/管理', '物流业务开发', '仓储']",6-10K,大专,石家庄
3616,室内设计师,['CAD'],4-6K,大专,石家庄
3617,包吃住正规足疗按摩SPA师及学员免费培训,"['SPA技师', '修脚师', '足疗技师', '包吃住', '免费培训', '就近分配']",8-13K,学历不限,石家庄
3618,老海埔蒸汽海鲜招聘凉菜厨师,['中餐'],4-5K,学历不限,石家庄
3619,广告制作,"['图文广告', '广告设计/后期', 'PS', '户外广告', '广告制片经验']",6-10K,学历不限,石家庄
3620,销售专员,"['销售专员', '销售主管', '高级销售', '初级销售', '门店销售']",5-6K,高中,石家庄
3621,俄语/阿拉伯语/西班牙语翻译,"['企业内部翻译职位', '全职', '坐班']",6-11K,本科,石家庄
3622,课程顾问,"['课程顾问', '招生']",5-8K,大专,石家庄
3623,土建工程师,"['总包施工员', '土建']",5-7K,大专,石家庄
3624,初高中各学科教师,"['销售经验', '心理学专业背景', '学科应试类', '体育类', '历史']",5-10K,本科,石家庄
3625,品牌推广专员+高薪,"['品牌管理', '市场公关', '品牌运营', '品牌总监', '公关主管/经理']",4-9K,大专,石家庄
3626,项目经理,"['二级建造师', '一级建造师']",2-3K,学历不限,石家庄
3627,室内设计师,"['室内设计师', '家居设计']",5-10K,大专,石家庄
3628,门窗施工员 长白班5000+,"['门窗组装', '组装', '加工', '普工']",5-8K,学历不限,石家庄
3629,今度烘焙招聘面包/烘焙师,"['月休四天', '带薪年假']",2-6K,学历不限,石家庄
3630,长安政联空调移机...招聘空调工,"['包吃包住', '包吃', '包住']",4-7K,学历不限,石家庄
3631,京东线下运营,['医疗健康'],4-6K,中专/中技,石家庄
3632,运营销售,"['对企业/机构（ToB）销售经验', '快消品销售经验']",7-10K,大专,石家庄
3633,医师，护士，中西医,"['私立医院', '护士资格证', '健康管理', '常规护理']",5-6K,大专,石家庄
3634,导演助理,"['电视栏目', '完整的执行能力']",5-10K,本科,石家庄
3635,车间主任,"['生产计划与物料控制', '生产设备管理', '生产成本管理']",7-10K,高中,石家庄
3636,会计,"['餐饮酒店', '总账', '财务分析', '成本', '结算', '资金管理']",5-6K,大专,石家庄
3637,商务公关,"['线下策划', '线上策划', '文案', '市场策划', '营销活动']",9-14K,大专,石家庄
3638,永辉超市高柱店招聘质量管理/测试,['食品质量管理'],2-3K,学历不限,石家庄
3639,科研项目助理,['农业育种科研新品种'],3-4K,本科,石家庄
3640,外贸专员,['报关经验'],5-10K,大专,石家庄
3641,拼多多官方平台订单判责专员（9-6班次）,"['不含销售的客服工作', '电话客服', '正常工作制', '办公室坐班']",5-7K,中专/中技,石家庄
3642,全职少儿美术教师,"['美术教学经验', '一级甲等', '教师', '小班教学（3-25人）']",5-6K,大专,石家庄
3643,广告平面设计,"['广告设计', '平面设计', 'PhotoShop', 'AI软件', '3DMax', 'AI']",3-8K,本科,石家庄
3644,生产员/生产线线长,['电子/半导体'],4-8K,高中,石家庄
3645,晨光文具招聘叉车工,"['加班费', '带薪年假', '年终奖', '月休四天', '餐补', '五险', '工龄奖']",5-6K·13薪,学历不限,石家庄
3646,化学分析员,"['化工工程师', '化学检测']",4-5K,本科,石家庄
3647,幼儿园园长,"['销售经验', '有高校渠道资源', '教师资格证', '大学/大专生']",7-10K,本科,石家庄
3648,IT培训,"['IT培训', '前端培训', '助教', '教育咨询师', '线上授课', '线下授课']",3-6K,大专,石家庄
3649,抖音店铺运营,"['抖音', '电商店铺运营', 'B2C', '抖音店铺', '医疗大健康']",5-10K,学历不限,石家庄
3650,保洁,"['就近分配', '室内清洁']",5-8K,学历不限,石家庄
3651,家具设计,"['整屋家具', 'AutoCAD', '独立完成效果图', '良好的方案沟通能力']",5-8K,学历不限,石家庄
3652,平面设计学徒,"['广告设计', '广告/设计公司', 'CDR', 'PS']",3-4K,中专/中技,石家庄
3653,招聘美甲合租伙伴,['环境好'],5-6K,学历不限,石家庄
3654,美容师(急招),"['月休四天', '带薪年假', '加班费', '生日福利', '保底工资']",3-6K,中专/中技,石家庄
3655,设备安装调试员,['电子元器件工程师'],4-8K,学历不限,石家庄
3656,平面设计,"['广告设计', 'CDR', 'PS', 'AI', '图文广告', '信息流广告', 'H5制作']",5-8K,大专,石家庄
3657,初中物理教师,"['一对一授课', '线下授课', '初中教育', '教师', '全职兼职均可']",6-10K,本科,石家庄
3658,旭辉电气招聘磨工,['五险一金'],4-8K,学历不限,石家庄
3659,装修商务顾问,"['渠道开发能力', '商务谈判能力', '用户拉新', '商户合作']",6-11K,高中,石家庄
3660,认证工程师,"['质量管理体系标准', '内审员证']",6-11K,大专,石家庄
3661,汽修工,"['故障排查', '日常养护', '小型车', '包吃住']",5-8K,中专/中技,石家庄
3662,健身教练,"['教练', '一对一授课', '救生员证', '自由搏击', '乒乓球教练']",5-10K,学历不限,石家庄
3663,美容培训主管,"['五险', '底薪加提成', '生日福利', '员工旅游', '团建聚餐', '护肤']",7-12K,大专,石家庄
3664,layout动画师,"['3D动画', 'MAYA', '分镜']",7-12K,学历不限,石家庄
3665,电气运维工程师,['IDC机房运维'],4-5K,大专,石家庄
3666,药店店员,"['药店店员', '药店销售', '零售药店', '全职']",3-6K,中专/中技,石家庄
3667,医生,"['初级职称', '全科', '无医师资格证书', '内科', '肾内科', '肾脏内科']",8-12K,学历不限,石家庄
3668,足疗按摩,"['推拿按摩师', '全勤奖', '包吃住']",5-9K,学历不限,石家庄
3669,人力资源专员,"['企业文化建设', '招聘与配置', '五险一金及其他福利管理']",4-5K,大专,石家庄
3670,【活动管家】诚聘三维设计,"['室内装潢', '家具设计', '工业制图', 'C4D', 'AI', '3dsMAX']",7-11K,大专,石家庄
3671,作文课程研发老师,"['教研', '小学教育', '写作', '文科']",3-8K,大专,石家庄
3672,招聘,"['入转调离', 'HRBP']",5-6K,大专,石家庄
3673,平面设计,"['平面设计', '美工', '美术设计']",2-3K,学历不限,石家庄
3674,Android开发工程师,['Android'],5-7K,大专,石家庄
3675,平面设计,['全职'],3-5K,高中,石家庄
3676,海马体照相馆—化妆师,"['五险一金', '工龄奖', '环境好', '免费培训', '全职', '免费工装']",3-8K,学历不限,石家庄
3677,物业客服专员,"['接待处/咨询台客服', '办公室坐班', '不含销售的客服工作']",3-4K,大专,石家庄
3678,会展活动执行,"['活动执行', '会展现场执行', '会展前期筹备', '会展方案策划']",3-4K,本科,石家庄
3679,教学主管,"['小学教育', '素质教育']",6-8K,大专,石家庄
3680,律师助理,"['诉讼/非诉讼', '综合类助理', '案源助理', '通过法律职业资格考试']",2-5K,大专,石家庄
3681,电话销售 8K 五险一金,"['个人（ToC）', '售后服务', '电话销售经验', '销售经验']",8-12K,学历不限,石家庄
3682,专业监理工程师,"['工程监理', '工程造价', '建筑施工现场管理', '资料员', '施工员']",4-6K,大专,石家庄
3683,中医管理师,['艾灸'],3-8K,大专,石家庄
3684,安三胖韩式烤肉招聘后厨,"['配菜打荷', '日料/韩餐']",4-6K,学历不限,石家庄
3685,中医理疗师,"['中医医生', '按摩师', '针灸推拿', '推拿师', '针灸师']",3-6K,本科,石家庄
3686,河北蓝塞夫供应链招聘日料厨师,"['日料主厨', '日料中工', '日料学徒', '零售/半成品加工', '刺身']",5-8K,学历不限,石家庄
3687,商务采购经理,"['国内采购', '计算机硬件', '建筑材料', '机械制造品', '原材料']",5-8K,本科,石家庄
3688,容易出单+高薪资+高意向,"['全职工作', '线上教育', '有销售经验']",7-12K,高中,石家庄
3689,办公室文员,['供应商管理'],3-4K,大专,石家庄
3690,物流营销经理&总监,['KA大客户管理'],10-15K,大专,石家庄
3691,健身教练,"['月休四天', '弹性工作制', '一对一授课', '八小时工作制', '年终奖']",8-10K,学历不限,石家庄
3692,河北顺丰速运有限公司招聘送餐员,"['配送员', '包住', '交通补助', '就近分配', '送餐员/骑手', '餐饮']",4-7K,学历不限,石家庄
3693,投标主管,"['地产招投标', '装修工程管理']",4-8K,本科,石家庄
3694,商务助理,"['商务合作拓展', '渠道合作', '商务谈判']",4-6K,大专,石家庄
3695,公司法务,"['金融', '房地产/建筑', '公司', '金融与资本市场']",7-12K,本科,石家庄
3696,电子商务进农村示范项目——项目经理,['项目管理'],6-10K,大专,石家庄
3697,内容编辑兼职,"['网站编辑', '新媒体编辑', '兼职']",5-10元/时,学历不限,石家庄
3698,儿童体适能教练,"['户外', '体能']",5-8K,本科,石家庄
3699,会议邀约专员,"['有销售经验', '有会议组织经验']",10-11K,本科,石家庄
3700,技术经理,"['网络协议', '服务器配置', '嵌入式技术']",4-8K,大专,石家庄
3701,服装销售导购,"['全勤奖', '底薪加提成', '门店销售', '女装销售', '30岁以内']",3-5K,中专/中技,石家庄
3702,培训经理（市场开发 双休 五险一金）,['培训经验'],6-10K,本科,石家庄
3703,检验师,"['检验师资格证', '医师资格证', '检验士资格证', '初级职称']",3-7K,学历不限,石家庄
3704,药店店长,"['销售经验', '药店', '连锁药房工作经验', '运营经验']",10-14K,大专,石家庄
3705,实习会计,"['代理记账公司', '双休']",3-4K,大专,石家庄
3706,收银软件实施,"['售后支持', '实施工程师/顾问', '软件实施', '软件应用培训']",4-8K,中专/中技,石家庄
3707,金怡化纤招聘配/理/拣/发货,"['质量管理', '接受倒班']",3-5K,学历不限,石家庄
3708,中药饮片销售副总监/医院招商代表,['医药代表'],5-10K,学历不限,石家庄
3709,储备校长,['校区运营'],8-13K,大专,石家庄
3710,前台服务员,"['收银', '包吃包住', '环境好', '有无线网', '免费工装', '晋升空间大']",3-5K,高中,石家庄
3711,SEM竞价总监,"['搜索引擎营销', 'SEO/SEM经验（有案例）']",8-13K,大专,石家庄
3712,药店店员,['销售经验'],2-4K,高中,石家庄
3713,装饰装修项目经理,"['硬装项目', '进度管理', '质量管理', '成本管理', '安全管理']",5-10K,中专/中技,石家庄
3714,美术助教,"['艺术类专业背景', '坐班', '小班教学（3-25人）', '培训机构']",2-4K,大专,石家庄
3715,试验工程师,"['材料研发', '化工', '建筑建材', '无机非金属材料']",4-6K,大专,石家庄
3716,双休--外贸业务员,"['英语可用于工作', '有外贸工作经验', '每周双休']",5-10K,大专,石家庄
3717,技术工程师,"['重型机械', '图纸设计', '技术改造与调整', '设计工程师']",8-12K,本科,石家庄
3718,医生,"['内科', '普通内科']",5-10K,大专,石家庄
3719,熙智科技招聘代驾司机,"['有代驾经验', '酒后代驾', '兼职', '熟练手动/自动挡']",5-6K,学历不限,石家庄
3720,电子商务专员,"['网络销售', '大客户销售']",4-9K,学历不限,石家庄
3721,鑫万和机电招聘机修工,"['包吃', '月结', '仪器仪表维修', '1-3年经验', '电工机械维修']",5-6K,中专/中技,石家庄
3722,1.1类化药新药临床监查员CRA,"['临床监查员', '临床试验', '药品不良反应', 'CRO', 'CRC', 'CRA']",6-10K,本科,石家庄
3723,中小学语文教师,"['全职', '兼职', '培训机构', '线上教育', '互联网教育平台使用']",8-13K,大专,石家庄
3724,店长管培生,"['药店店员', '药店店长', '门店运营管理', '门店销售', '药店管理']",5-6K,本科,石家庄
3725,供应商开发与管理工程师,"['采购', '采购工程师']",3-4K,本科,石家庄
3726,运维工程师,"['运维工程师', '人工智能']",3-5K,大专,石家庄
3727,汽车洗车工,"['汽车美容经验', '包吃', '包住', '包吃住', '洗车']",2-3K,学历不限,石家庄
3728,高级汽车专业维修技师,"['五险一金', '交通补助', '绩效奖金', '全勤奖', '汽车检测']",8-12K,学历不限,石家庄
3729,婚礼策划,"['新人谈单', '婚礼管家', '婚礼方案设计', 'Photoshop']",5-10K,大专,石家庄
3730,健身教练,"['一对一私教', '体适能', '亚洲体适能教练证书', '坐班']",7-12K,学历不限,石家庄
3731,项目专员,['科技项目'],3-6K,大专,石家庄
3732,电气设计工程师,"['CAD', '电气设计', '农网设计', '施工图设计', '配电设计']",5-9K,大专,石家庄
3733,长白班六日双休客服,"['含有销售的客服工作', '线上客服', '电话客服']",3-6K,学历不限,石家庄
3734,军工项目经理,['中大型软件项目管理经验'],10-15K·13薪,本科,石家庄
3735,美容师头疗师,['美容师'],3-7K,学历不限,石家庄
3736,抖音投放/直播投放/千川投手,"['信息流投放', '电商平台投放', '视频投放', '抖音', '抖音千川投放']",10-15K,学历不限,石家庄
3737,律师,"['专职律师', '诉讼/非诉讼', '提成制', '公职律师', '执业3年以上']",20-40K,本科,石家庄
3738,街舞爵士舞老师,"['排舞经验', '全职兼职均可', '青少年', '街舞', '韩舞', '不坐班']",3-8K,本科,石家庄
3739,客户经理,"['互联网金融/消费金融', '银行', '信用卡推广及办理']",4-9K,大专,石家庄
3740,销售,"['客户关系维护', '电子商务', '医疗/大健康', '面销/陌拜经验']",7-8K,学历不限,石家庄
3741,行政文员主管,"['活动/会议组织', '接待/外联', '文书起草']",3-6K,本科,石家庄
3742,售后维修,"['维修中心维修/保养职位', '会开车', '综合机修工', '电器维修']",3-5K,学历不限,石家庄
3743,设计师,"['餐饮设计', 'CAD', 'SketchUp']",3-6K·13薪,本科,石家庄
3744,算法工程师,"['数据分析', '图像处理', '深度学习', '研究导向']",8-13K·14薪,硕士,石家庄
3745,区域销售经理,"['政府/社会团体', '对企业/机构（ToB）销售经验']",15-20K,本科,石家庄
3746,教学主管,"['销售经验', '校长', '大型教育机构经验', '教育工作经验', '中学生']",5-10K,大专,石家庄
3747,方案助理设计师,['公园项目'],5-10K,本科,石家庄
3748,配色工程师,"['化学化纤', '对色彩搭配敏感']",6-10K,大专,石家庄
3749,高薪销售专员+销售经理,"['电话销售', '企业服务', '企业（ToB）', '网络销售']",3-7K,学历不限,石家庄
3750,洗车工人,"['汽车美容', '抛光打蜡', '抛光工', '洗车工', '镀晶镀膜', '汽车贴膜']",2-5K,初中及以下,石家庄
3751,开发工程师,"['.NET', 'ERP', '数据库']",6-10K,本科,石家庄
3752,效果图绘图员,"['CAD', '3DMax', '视觉设计', 'VI设计', '设计师', '设计主管']",3-6K,大专,石家庄
3753,his实施工程师,"['SQL', '管理系统', '互联网医疗', '医疗卫生']",4-6K,大专,石家庄
3754,石家庄新店开业可小白+提供食宿+无责保底1w,"['美容理疗', '拔罐', '耳穴', '推拿', '美容中心']",10-14K,学历不限,石家庄
3755,美容导师,"['了解美容常识', '销售经验']",8-13K,学历不限,石家庄
3756,巢秀招聘磨工,"['八小时工作制', '保底工资', '免费培训', '全职']",5-7K,学历不限,石家庄
3757,酒店前台,"['轮班工作制', '包吃', '夜班补助']",3-4K,中专/中技,石家庄
3758,数据标注,"['数据采集', '图像处理', '图形识别', '图像分析', '图像跟踪']",3-4K,学历不限,石家庄
3759,外贸经理,"['跨境电商', '贸易跟单', '有团队管理经验', '有外贸工作经验']",6-11K,本科,石家庄
3760,前端技术工程师,"['CSS', 'HTML5', 'CSS3', 'React', 'Vue', 'Vue.js', '小程序']",5-10K,大专,石家庄
3761,搏击散打教练,['自由搏击'],3-8K,高中,石家庄
3762,分公司经理,"['医疗', '市级', '市场经营', '运营管理', '业务推动']",8-13K,大专,石家庄
3763,服装生产样衣工,"['男装', '女装', '工装/校服']",3-4K,学历不限,石家庄
3764,机器人教师,"['销售经验', '乐高', '机器人', '小班教学（3-25人）', '线下教育']",3-8K,大专,石家庄
3765,电商带货主播,"['快手', '接受夜班', '普通话流利', '抖音']",6-11K,学历不限,石家庄
3766,少儿播音主持老师,"['教研', '教师', '教育培训']",4-9K,学历不限,石家庄
3767,活动策划执行,"['公关公司/活动服务提供商（乙方）', '线下活动', '线上活动']",3-6K,高中,石家庄
3768,市场顾问,"['身体养生，美容护理', '销售', '化妆品，美容美体']",5-10K,学历不限,石家庄
3769,m1催收客服 7000+,"['银行/互联网金融', '电话催收', '电话客服经验', '普通话流利']",7-11K,高中,石家庄
3770,cad制图,"['工业制图', '机械设计', 'CAD', '设计']",3-4K,学历不限,石家庄
3771,中医,"['中医科', '推拿师', '正骨']",5-10K,学历不限,石家庄
3772,以岭凯旋门大酒店招聘传菜员,"['中餐馆', '传菜', '全职', '暑期工']",3-4K,中专/中技,石家庄
3773,汽车钣金喷漆工,"['车辆大修', '日常养护', '快修快保', '小型车', '新能源汽车', '包住']",5-8K,学历不限,石家庄
3774,商品运营经理,['客户管理'],8-13K,本科,石家庄
3775,河北金环包装有限...招聘质量管理/测试,['生产质量管理'],15-25K,大专,石家庄
3776,酒店前台,"['包住', '全勤奖', '底薪加提成', '免费培训', '环境好']",2-4K,学历不限,石家庄
3777,服装导购员,"['西美花街工作', '每天半班']",3-5K,学历不限,石家庄
3778,室内设计,"['报价主材制定', 'CAD/制图', '3D设计']",5-10K,高中,石家庄
3779,中医师中医专家,"['中医护理', '中医推拿', '针灸科']",3-8K,初中及以下,石家庄
3780,双休包住外贸专员,"['英语', '外贸公司']",3-8K,大专,石家庄
3781,质量管理主管,"['IATF16949', 'ISO9001', '内审员资格证', 'CISSP/CISP/CISA']",6-10K,大专,石家庄
3782,中餐厨师,"['厨师长', '中央厨房/半成品加工', '1-3年']",4-5K,学历不限,石家庄
3783,消防施工项目经理,"['住宅地产', '商业地产', '办公地产', '高层建筑', '智能建筑']",5-8K,学历不限,石家庄
3784,上位机软件开发,"['单片机开发', 'SQL', '嵌入式技术', '图形图像处理', 'Windows']",8-12K·13薪,本科,石家庄
3785,化妆师,"['擅长发型造型', '月休四天']",4-6K,学历不限,石家庄
3786,设计师助理,"['CAD/制图', '手绘', '3D设计']",4-5K,大专,石家庄
3787,外贸业务员,"['有外贸工作经验', '阿里巴巴国际站', '贸易跟单', 'CET-6', '英语']",8-12K,大专,石家庄
3788,web前端开发工程师,"['前端开发', '后端开发', 'CSS', 'HTML', 'React', 'Vue']",3-5K,大专,石家庄
3789,招生老师课程顾问,"['销售经验', '坐班', '艺考培训', '小班教学（3-25人）', '培训机构']",8-10K,大专,石家庄
3790,文案策划,"['地产策划', '地产全案策划', '地产广告策划']",5-10K,大专,石家庄
3791,环境艺术 软装设计实习生,"['设计师', '室内设计', '软装设计', 'CAD', 'Sketchup', '手绘']",1-2K,大专,石家庄
3792,短视频剪辑师,"['Premiere', '视频剪辑', '短视频', 'Photoshop', '剪辑']",4-7K,大专,石家庄
3793,机械自动化（设备）设计师,"['新能源', 'AutoCAD', '机械自动化', '核电站设计', '三维建模']",7-10K,本科,石家庄
3794,发型师设计师,['发型师'],8-13K,学历不限,石家庄
3795,中医按摩,['中医推拿'],10-11K,大专,石家庄
3796,设计师助理室内,"['CAD', '家居/家具设计', '酷家乐', '3D设计', '全职', '室内设计']",1-2K,学历不限,石家庄
3797,招生主任,['教育培训'],5-10K,大专,石家庄
3798,前端,"['CSS', 'JavaScript', 'Vue']",5-7K,本科,石家庄
3799,裕华骑士母婴生活馆招聘店员/营业员,"['绩效奖金', '全勤奖', '工龄奖']",4-8K,学历不限,石家庄
3800,系统管理员,"['运维', '网络', '系统管理员']",3-5K,本科,石家庄
3801,兼职市场调查员,"['定性研究', '公司内部岗位']",3-4K,学历不限,石家庄
3802,商务渠道专员,"['销售经验', '对企业/机构（ToB）销售经验']",3-4K,大专,石家庄
3803,招商经理,"['物业招商/租赁', '团队建设能力', '高级销售', '销售总监']",5-7K,大专,石家庄
3804,游戏执行策划,"['手机游戏', '游戏关卡策划', '玩法设计', '游戏数值策划']",3-6K,学历不限,石家庄
3805,融创服务石家庄分公司招聘保安经理,"['五险', '月休四天', '秩序领班']",5-6K,高中,石家庄
3806,兼职古筝教师,"['一对一授课', '兼职', '小学教育', '教师', '助教', '线下授课']",2-5K,中专/中技,石家庄
3807,UI设计实习生,"['UI设计', 'Web端']",150-200元/天,大专,石家庄
3808,美发师,"['烫染技师', '美发', '包吃包住', '月休四天', '包住', '绩效奖金']",4-5K,学历不限,石家庄
3809,护士,"['接待咨询', '护士']",6-9K,学历不限,石家庄
3810,开发工程师,"['Java', 'MySQL']",5-8K,本科,石家庄
3811,采购,['贸易公司'],6-7K,学历不限,石家庄
3812,融资总监,"['融资总监', '商业保理', '固定收益', '资产证券化', '金融', '基金']",10-15K,本科,石家庄
3813,拼多多招聘仓库管理员,"['货物验收/入库', '库存控制/盘点', '熟练使用WMS系统']",7-8K,大专,石家庄
3814,产后康复师,"['月休四天', '保底工资', '绩效奖金']",5-6K,学历不限,石家庄
3815,花园必胜客招聘西餐厨师,"['主厨', '烤扒', '冷菜', '无经验']",3-4K,学历不限,石家庄
3816,人力资源专员/助理,"['招聘与配置', '人力资源管理', '员工关系', '培训与开发']",3-4K,本科,石家庄
3817,后厨,"['西餐', '绩效奖金', '无经验', '包吃', '不加班', '兼职', '1-3年']",4-5K,学历不限,石家庄
